@RELATION RUN_EVALUATIONS

@ATTRIBUTE openml_data_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
36,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.978788,ok
37,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.772135,ok
37,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.751302,ok
37,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.72526,ok
37,1,6409_weka.FilteredClassifier_NaiveBayes,0.759115,ok
37,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.777344,ok
37,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.777344,ok
37,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.755208,ok
41,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.934114,ok
41,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.93265,ok
41,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.920937,ok
41,1,6409_weka.FilteredClassifier_NaiveBayes,0.897511,ok
41,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.931186,ok
41,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.935578,ok
41,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.945827,ok
43,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.937405,ok
43,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.927407,ok
43,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.906542,ok
43,1,6409_weka.FilteredClassifier_NaiveBayes,0.795045,ok
43,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.927842,ok
43,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.956314,ok
43,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.941752,ok
45,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.967398,ok
45,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.939185,ok
45,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.889655,ok
45,1,6409_weka.FilteredClassifier_NaiveBayes,0.954859,ok
45,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.958934,ok
45,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.968339,ok
45,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.962696,ok
49,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,1.0,ok
49,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.852818,ok
49,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.990605,ok
49,1,6409_weka.FilteredClassifier_NaiveBayes,0.700418,ok
49,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.983299,ok
49,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.979123,ok
49,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.977035,ok
53,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.853428,ok
53,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.719858,ok
53,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.706856,ok
53,1,6409_weka.FilteredClassifier_NaiveBayes,0.445626,ok
53,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.804965,ok
53,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.757683,ok
53,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.749409,ok
58,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.8644,ok
58,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.7616,ok
58,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.8424,ok
58,1,6409_weka.FilteredClassifier_NaiveBayes,0.7996,ok
58,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.8672,ok
58,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.8532,ok
58,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
14964,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.88256,ok
14964,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.80368,ok
14964,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.943042,ok
14964,1,6409_weka.FilteredClassifier_NaiveBayes,0.302016,ok
14964,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.354668,ok
14964,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.948718,ok
14964,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.849383,ok
14965,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0,other
14965,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.90593,ok
14965,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.893389,ok
14965,1,6409_weka.FilteredClassifier_NaiveBayes,0.880007,ok
14965,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.901374,ok
14965,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.905045,ok
14965,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.909624,ok
14966,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.792589,ok
14966,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.762197,ok
14966,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.749134,ok
14966,1,6409_weka.FilteredClassifier_NaiveBayes,0.659824,ok
14966,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.770994,ok
14966,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.811517,ok
14966,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
14967,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,1.0,ok
14967,1,6405_weka.FilteredClassifier_MultiSearch_J48,1.0,ok
14967,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.967096,ok
14967,1,6409_weka.FilteredClassifier_NaiveBayes,0.497139,ok
14967,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.999642,ok
14967,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,1.0,ok
14967,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,1.0,ok
14968,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.818519,ok
14968,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.677778,ok
14968,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.757407,ok
14968,1,6409_weka.FilteredClassifier_NaiveBayes,0.740741,ok
14968,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.766667,ok
14968,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.801852,ok
14968,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.62963,ok
14969,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.600223,ok
14969,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.534083,ok
14969,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.651879,ok
14969,1,6409_weka.FilteredClassifier_NaiveBayes,0.417401,ok
14969,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.475944,ok
14969,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.694622,ok
14969,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.565482,ok
14970,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.993883,ok
14970,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.944266,ok
14970,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.970288,ok
14970,1,6409_weka.FilteredClassifier_NaiveBayes,0.749005,ok
14970,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.984659,ok
14970,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.982037,ok
14970,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0,other
14971,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0,other
14971,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.833208,ok
14971,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.831256,ok
14971,1,6409_weka.FilteredClassifier_NaiveBayes,0.816962,ok
14971,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.832382,ok
14971,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.825073,ok
14971,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.833709,ok
9914,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.985741,ok
9914,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.982021,ok
9914,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.953089,ok
9914,1,6409_weka.FilteredClassifier_NaiveBayes,0.89254,ok
9914,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.967969,ok
9914,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.985534,ok
9914,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.983881,ok
9946,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.973638,ok
9946,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.938489,ok
9946,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.970123,ok
9946,1,6409_weka.FilteredClassifier_NaiveBayes,0.933216,ok
9946,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.975395,ok
9946,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.970123,ok
9946,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.947276,ok
219,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0,other
219,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.904683,ok
219,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.807512,ok
219,1,6409_weka.FilteredClassifier_NaiveBayes,0.730049,ok
219,1,6410_weka.FilteredClassifier_MultiSearch_Logistic,0.761167,ok
219,1,6411_weka.FilteredClassifier_MultiSearch_RandomForest,0.931321,ok
219,1,6412_weka.FilteredClassifier_MultiSearch_LogitBoost_REPTree,0.886432,ok
9950,1,6404_weka.FilteredClassifier_MultiSearch_SMO_RBFKernel,0.798599,ok
9950,1,6405_weka.FilteredClassifier_MultiSearch_J48,0.802102,ok
9950,1,6408_weka.FilteredClassifier_MultiSearch_IBk,0.707531,ok
9950,1,6409_weka.FilteredClassifier_NaiveBayes,0.861646,ok
